0.64,5009
0.64,5018
0.64,5031
0.64,5044
0.64,5063
0.64,5082
0.65,5106
0.65,5130
0.65,5154
0.65,5181
0.65,5211
0.65,5241
0.65,5286
0.65,5318
0.65,5351
0.65,5400
0.66,5433
0.66,5467
0.66,5518
0.66,5552
0.66,5602
0.66,5636
0.66,5670
0.66,5721
0.66,5756
0.66,5791
0.67,5826
0.67,5860
0.67,5894
0.67,5911
0.67,5945
0.67,5981
0.67,5999
0.67,6036
0.67,6072
0.67,6090
0.68,6129
0.68,6170
0.68,6190
0.68,6231
0.68,6272
0.68,6292
0.68,6334
0.68,6375
0.68,6396
0.68,6438
0.69,6478
0.69,6518
0.69,6538
0.69,6578
0.69,6618
0.69,6656
0.69,6675
0.69,6713
0.69,6751
0.69,6767
0.70,6800
0.70,6817
0.70,6850
0.70,6867
0.70,6898
0.70,6913
0.70,6927
0.70,6957
0.70,6971
0.70,7001
0.71,7013
0.71,7026
0.71,7052
0.71,7065
0.71,7091
0.71,7104
0.71,7126
0.71,7138
0.71,7160
0.71,7172
0.72,7195
0.72,7204
0.72,7213
0.72,7231
0.72,7240
0.72,7258
0.72,7268
0.72,7282
0.72,7289
0.72,7296
0.73,7310
0.73,7317
0.73,7325
0.73,7335
0.73,7340
0.73,7350
0.73,7355
0.73,7365
0.73,7367
0.73,7372
0.74,7374
0.74,7376
0.74,7381
0.74,7384
0.74,7384
0.74,7384
0.74,7383
0.74,7383
0.74,7383
0.74,7382
0.75,7382
0.75,7382
0.75,7382
0.75,7382
0.75,7381
0.75,7381
0.75,7380
0.75,7380
0.75,7380
0.75,7379
0.76,7378
0.76,7377
0.76,7376
0.76,7374
0.76,7373
0.76,7372
0.76,7369
0.76,7367
0.76,7362
0.76,7360
0.77,7355
0.77,7352
0.77,7349
0.77,7342
0.77,7339
0.77,7332
0.77,7329
0.77,7325
0.77,7318
0.77,7315
0.78,7311
0.78,7304
0.78,7301
0.78,7297
0.78,7290
0.78,7287
0.78,7279
0.78,7276
0.78,7272
0.78,7263
0.79,7257
0.79,7245
0.79,7240
0.79,7234
0.79,7222
0.79,7216
0.79,7204
0.79,7198
0.79,7192
0.79,7180
0.80,7173
0.80,7163
0.80,7158
0.80,7148
0.80,7143
0.80,7138
0.80,7127
0.80,7122
0.80,7112
